,Signal Start,Signal End,Type,Country,Dataset
161,2021-01-01,2021-01-06,MK Increasing,tr,ooni
162,2021-03-05,2021-03-20,MK Increasing,tr,ooni
163,2021-06-03,2021-07-08,MK Increasing,tr,ooni
164,2021-10-31,2021-11-10,MK Increasing,tr,ooni
165,2022-01-04,2022-02-13,MK Increasing,tr,ooni
166,2022-04-19,2022-04-29,MK Increasing,tr,ooni
167,2021-01-29,2021-02-13,MK Decreasing,tr,ooni
168,2021-05-09,2021-05-14,MK Decreasing,tr,ooni
169,2021-09-01,2021-09-06,MK Decreasing,tr,ooni
170,2022-03-10,2022-03-25,MK Decreasing,tr,ooni
171,2023-01-29,2023-02-03,MK Decreasing,tr,ooni
172,2023-01-19,2023-02-13,CC Above,tr,ooni
173,2021-03-25,2021-04-24,MK Increasing,cn,tor
174,2022-01-25,2022-02-09,MK Increasing,cn,tor
175,2022-07-29,2022-08-28,MK Increasing,cn,tor
176,2021-02-18,2021-02-28,MK Decreasing,cn,tor
177,2021-05-14,2021-05-19,MK Decreasing,cn,tor
178,2021-07-08,2021-07-13,MK Decreasing,cn,tor
179,2021-11-15,2022-01-04,MK Decreasing,cn,tor
180,2022-07-04,2022-07-09,MK Decreasing,cn,tor
181,2023-01-30,2023-02-14,MK Decreasing,cn,tor
182,2021-03-15,2021-03-20,MK Increasing,ir,tor
183,2021-07-23,2021-08-12,MK Increasing,ir,tor
184,2022-11-27,2022-12-07,MK Increasing,ir,tor
185,2023-01-20,2023-02-09,MK Increasing,ir,tor
186,2021-01-13,2021-02-18,MK Decreasing,ir,tor
187,2021-04-24,2021-05-29,MK Decreasing,ir,tor
188,2021-09-11,2021-10-11,MK Decreasing,ir,tor
189,2022-03-16,2022-04-05,CC Below,ir,tor
190,2021-03-15,2021-03-25,MK Increasing,pk,tor
191,2021-07-28,2021-08-02,MK Increasing,pk,tor
192,2021-10-21,2021-12-05,MK Increasing,pk,tor
193,2022-01-09,2022-02-09,MK Increasing,pk,tor
194,2022-03-11,2022-03-16,MK Increasing,pk,tor
195,2021-02-08,2021-02-18,MK Decreasing,pk,tor
196,2022-05-10,2022-06-09,MK Decreasing,pk,tor
197,2022-12-07,2022-12-12,MK Decreasing,pk,tor
198,2021-07-03,2021-07-08,CC Above,pk,tor
199,2021-11-30,2021-12-20,CC Above,pk,tor
200,2022-11-22,2022-12-17,CC Above,pk,tor
201,2021-05-29,2021-07-03,MK Increasing,ru,tor
202,2022-04-15,2022-04-30,MK Increasing,ru,tor
203,2022-07-04,2022-08-03,MK Increasing,ru,tor
204,2022-12-22,2022-12-27,MK Increasing,ru,tor
205,2021-01-13,2021-01-24,MK Decreasing,ru,tor
206,2021-03-20,2021-04-09,MK Decreasing,ru,tor
207,2021-07-23,2021-08-17,MK Decreasing,ru,tor
208,2021-11-05,2021-12-25,MK Decreasing,ru,tor
209,2022-02-24,2022-03-26,MK Decreasing,ru,tor
210,2022-05-20,2022-06-09,MK Decreasing,ru,tor
211,2022-08-28,2022-10-18,MK Decreasing,ru,tor
212,2022-11-12,2022-11-22,MK Decreasing,ru,tor
213,2021-01-01,2021-01-07,MK Increasing,tr,tor
214,2021-04-24,2021-04-29,MK Increasing,tr,tor
215,2021-07-08,2021-07-28,MK Increasing,tr,tor
216,2021-09-06,2021-09-16,MK Increasing,tr,tor
217,2022-01-04,2022-01-14,MK Increasing,tr,tor
218,2022-02-24,2022-03-01,MK Increasing,tr,tor
219,2022-07-04,2022-08-08,MK Increasing,tr,tor
220,2022-10-03,2022-10-28,MK Increasing,tr,tor
221,2021-02-03,2021-02-23,MK Decreasing,tr,tor
222,2021-05-19,2021-06-18,MK Decreasing,tr,tor
223,2022-04-25,2022-06-09,MK Decreasing,tr,tor
224,2021-01-01,2021-02-20,MK Increasing,cn,gfwatch
225,2021-03-27,2021-04-21,MK Increasing,cn,gfwatch
226,2021-05-31,2021-06-25,MK Increasing,cn,gfwatch
227,2021-09-03,2021-10-23,MK Increasing,cn,gfwatch
228,2021-11-07,2021-12-13,MK Increasing,cn,gfwatch
229,2022-02-12,2022-04-13,MK Increasing,cn,gfwatch
230,2022-05-03,2022-06-12,MK Increasing,cn,gfwatch
231,2022-11-04,2022-12-04,MK Increasing,cn,gfwatch
232,2023-01-03,2023-02-12,MK Increasing,cn,gfwatch
233,2021-07-20,2021-07-30,MK Decreasing,cn,gfwatch
234,2022-07-02,2022-07-07,MK Decreasing,cn,gfwatch
235,2022-08-11,2022-08-21,MK Decreasing,cn,gfwatch
236,2022-09-30,2022-10-10,MK Decreasing,cn,gfwatch
