,date,measurements,ok,anomalies,ratio
41,2021-03-25,14754,14753,1,6.777822963264199e-05
42,2021-03-26,540479,539479,1000,0.001850210646482102
43,2021-03-29,11220,11220,0,0.0
44,2021-03-30,570583,569813,770,0.0013494969180645059
45,2021-04-02,537193,536443,750,0.001396146264005674
46,2021-04-05,11199,11199,0,0.0
47,2021-04-06,568930,568110,820,0.0014413020934034063
48,2021-04-08,11843,11842,1,8.443806467955755e-05
49,2021-04-09,545836,544822,1014,0.0018577008478737203
50,2021-04-12,19721,19706,15,0.0007606105167080777
51,2021-04-13,562859,561592,1267,0.0022510078012432954
52,2021-04-15,20876,20863,13,0.0006227246598965319
53,2021-04-16,567739,566730,1009,0.0017772250981524962
54,2021-04-19,33293,33278,15,0.0004505451596431682
55,2021-04-20,541845,540961,884,0.0016314628722236065
56,2021-04-22,26884,26867,17,0.0006323463770272281
57,2021-04-23,550775,547749,3026,0.005494076528527983
58,2021-04-26,656550,655867,683,0.0010402863452897723
59,2021-04-29,663650,662927,723,0.0010894296692533715
60,2021-04-30,70,70,0,0.0
61,2021-05-03,553826,553349,477,0.0008612813410710223
62,2021-05-06,649036,648382,654,0.001007648266043794
63,2021-05-09,6376,6376,0,0.0
64,2021-05-10,586965,586471,494,0.0008416174729327984
65,2021-05-13,637194,636266,928,0.0014563853394727508
66,2021-05-17,664259,663578,681,0.0010252025188969966
67,2021-05-18,151,151,0,0.0
68,2021-05-20,671656,670948,708,0.0010541110330288123
69,2021-05-24,342985,342734,251,0.0007318104290275085
70,2021-05-25,302349,301952,397,0.00131305213511538
71,2021-05-27,354615,354400,215,0.0006062913300339805
72,2021-05-28,304308,304018,290,0.0009529818473388804
73,2021-06-04,297207,296499,708,0.0023821780779052985
74,2021-06-07,357436,357134,302,0.0008449065007441891
75,2021-06-08,312179,311570,609,0.0019508038657308788
76,2021-06-10,354513,354239,274,0.0007728912620975818
77,2021-06-11,282790,282096,694,0.0024541178966724425
78,2021-06-14,339298,339126,172,0.0005069290122547141
79,2021-06-15,261176,260278,898,0.0034382944834134834
80,2021-06-17,321133,321002,131,0.00040793067046986765
81,2021-06-18,262542,261888,654,0.002491030006627511
82,2021-06-21,284115,283852,263,0.0009256815022086127
83,2021-06-22,281063,280460,603,0.0021454264702219787
84,2021-06-24,338752,338440,312,0.0009210277725297562
85,2021-06-25,270449,270266,183,0.0006766525296821212
86,2021-06-28,349920,349594,326,0.0009316415180612712
87,2021-06-29,299430,298636,794,0.002651704905988044
88,2021-07-01,332145,331550,595,0.0017913862921314487
89,2021-07-02,304145,303570,575,0.0018905456279077414
90,2021-07-05,339455,338888,567,0.0016703244907277843
91,2021-07-06,304356,303847,509,0.0016723836559818107
92,2021-07-07,27312,27289,23,0.0008421206795547745
93,2021-07-08,277676,277432,244,0.0008787219637275097
94,2021-07-09,286955,286391,564,0.0019654649683748322
95,2021-07-12,302966,302364,602,0.00198702164599328
96,2021-07-13,300534,299871,663,0.002206073189722294
97,2021-07-15,340852,340273,579,0.0016986844730264162
98,2021-07-16,284223,283748,475,0.0016712229481780153
99,2021-07-19,319769,319542,227,0.0007098874500029708
100,2021-07-22,322080,321882,198,0.0006147540983606558
101,2021-07-23,308004,307059,945,0.0030681419721821793
102,2021-07-26,285608,285380,228,0.0007982969664715274
103,2021-07-27,287272,286553,719,0.002502854437606171
104,2021-07-29,327532,326386,1146,0.0034988947644810277
105,2021-07-30,253871,253214,657,0.0025879285148756653
106,2021-08-02,304834,304612,222,0.0007282652197589508
107,2021-08-03,284574,283531,1043,0.0036651275239480766
108,2021-08-05,321579,321119,460,0.0014304416644121663
109,2021-08-06,296936,295937,999,0.0033643613438586093
110,2021-08-09,307150,307056,94,0.0003060393944326876
111,2021-08-10,226432,225937,495,0.0021860867721876765
112,2021-08-12,293576,293164,412,0.0014033844728451917
113,2021-08-13,279420,278586,834,0.002984754133562379
114,2021-08-16,282470,282075,395,0.0013983785888766948
115,2021-08-20,516981,516389,592,0.0011451097815973895
116,2021-08-21,46637,46613,24,0.0005146128610330853
117,2021-08-23,294204,293911,293,0.0009959076015281913
118,2021-08-24,292893,291980,913,0.0031171793112160415
119,2021-08-26,298516,297937,579,0.0019395945275965107
120,2021-08-27,276430,275793,637,0.002304380855912889
121,2021-08-30,284083,283788,295,0.0010384289098608506
122,2021-08-31,250404,249985,419,0.001673295953738758
