,date,measurements,ok,anomalies,ratio
190,2021-12-24,29177,20930,8247,0.28265414538849093
191,2021-12-26,420,360,60,0.14285714285714285
192,2021-12-27,7754,6097,1657,0.21369615682228527
193,2021-12-28,31123,22205,8918,0.2865405005944157
194,2021-12-29,708,611,97,0.1370056497175141
195,2021-12-30,10903,8837,2066,0.18948913143171603
196,2021-12-31,30373,21330,9043,0.2977315378790373
197,2022-01-03,14508,11487,3021,0.20822994210090984
198,2022-01-04,31447,22422,9025,0.286990809934175
199,2022-01-05,574,474,100,0.17421602787456447
200,2022-01-06,7905,6128,1777,0.2247944339025933
201,2022-01-07,22983,16249,6734,0.2929991733020058
202,2022-01-10,10075,8287,1788,0.17746898263027294
203,2022-01-12,221,181,40,0.18099547511312217
204,2022-01-13,5824,4055,1769,0.30374313186813184
205,2022-01-14,34163,24309,9854,0.2884407107104177
206,2022-01-15,1697,1078,619,0.36476134354743667
207,2022-01-16,1160,963,197,0.16982758620689656
208,2022-01-17,12577,9963,2614,0.2078397074024012
209,2022-01-18,34203,24365,9838,0.28763558752156243
210,2022-01-19,492,349,143,0.29065040650406504
211,2022-01-20,10916,7757,3159,0.28939171857823376
212,2022-01-21,34646,24451,10195,0.29426196386307224
213,2022-01-23,735,580,155,0.2108843537414966
214,2022-01-24,9039,6865,2174,0.2405133311206992
215,2022-01-25,34464,24347,10117,0.29355269266480966
216,2022-01-26,756,602,154,0.2037037037037037
217,2022-01-27,12643,9397,3246,0.2567428616625801
218,2022-01-28,34833,24435,10398,0.29851003358883815
219,2022-01-30,620,515,105,0.1693548387096774
220,2022-01-31,8794,6694,2100,0.23879918125994998
221,2022-02-01,31075,21859,9216,0.2965728077232502
222,2022-02-02,636,587,49,0.0770440251572327
223,2022-02-03,8264,6780,1484,0.17957405614714425
224,2022-02-04,34611,24506,10105,0.29195920372136025
225,2022-02-06,825,707,118,0.14303030303030304
226,2022-02-07,11878,9431,2447,0.2060111129819835
227,2022-02-08,33311,23638,9673,0.2903845576536279
228,2022-02-09,262,220,42,0.16030534351145037
229,2022-02-10,7847,6094,1753,0.22339747674270422
230,2022-02-11,29615,20938,8677,0.29299341549890257
231,2022-02-13,834,730,104,0.12470023980815348
232,2022-02-14,9697,7845,1852,0.19098690316592762
233,2022-02-15,31385,22184,9201,0.2931655249322925
234,2022-02-16,1077,883,194,0.18012999071494892
235,2022-02-17,11019,8811,2208,0.20038115981486523
236,2022-02-18,19257,14427,4830,0.25081788440567065
237,2022-02-19,13451,8650,4801,0.3569251356776448
238,2022-02-20,568,458,110,0.1936619718309859
239,2022-02-21,9960,7525,2435,0.24447791164658633
