,date,measurements,ok,anomalies,ratio
207,2022-02-17,23047,23024,23,0.0009979606890267714
208,2022-02-18,17836,17675,161,0.00902668759811617
209,2022-02-19,2216,2195,21,0.00947653429602888
210,2022-02-20,1953,1948,5,0.002560163850486431
211,2022-02-21,20795,20698,97,0.0046645828324116375
212,2022-02-22,19630,19406,224,0.01141110545084055
213,2022-02-23,1508,1508,0,0.0
214,2022-02-24,27078,27039,39,0.0014402836250830932
215,2022-02-25,17828,17703,125,0.007011442674444693
216,2022-02-28,18875,18832,43,0.0022781456953642385
217,2022-03-01,23503,22889,614,0.026124324554312215
218,2022-03-02,714,714,0,0.0
219,2022-03-03,28607,28540,67,0.002342084105288915
220,2022-03-04,20705,20415,290,0.014006278676648153
221,2022-03-06,171,171,0,0.0
222,2022-03-07,18428,18382,46,0.0024962014326025614
223,2022-03-08,23674,22777,897,0.03788966799020022
224,2022-03-09,612,612,0,0.0
225,2022-03-10,24599,24557,42,0.0017073864791251677
226,2022-03-11,19097,18934,163,0.008535372047965648
227,2022-03-14,24625,24600,25,0.0010152284263959391
228,2022-03-15,19544,19382,162,0.008288988948014737
229,2022-03-16,1899,1899,0,0.0
230,2022-03-17,16227,16219,8,0.0004930054846860172
231,2022-03-20,891,891,0,0.0
232,2022-03-21,18347,18324,23,0.0012536109445685944
233,2022-03-22,15017,14993,24,0.0015981887194512886
234,2022-03-23,788,786,2,0.0025380710659898475
235,2022-03-24,16555,16540,15,0.000906070673512534
236,2022-03-25,18909,18748,161,0.008514464011846211
237,2022-03-28,1065,1058,7,0.006572769953051643
238,2022-03-29,19085,18933,152,0.007964369924024103
239,2022-03-30,1387,1383,4,0.002883922134102379
240,2022-03-31,22618,22543,75,0.0033159430542046156
241,2022-04-01,17213,17040,173,0.010050543194097485
242,2022-04-03,1505,1505,0,0.0
243,2022-04-04,25592,25583,9,0.0003516723976242576
244,2022-04-05,19225,19060,165,0.008582574772431729
245,2022-04-06,544,543,1,0.001838235294117647
246,2022-04-07,16176,16136,40,0.002472799208704253
247,2022-04-08,19704,19449,255,0.012941534713763702
248,2022-04-10,1578,1576,2,0.0012674271229404308
249,2022-04-11,26632,26582,50,0.0018774406728747372
250,2022-04-12,16897,16751,146,0.008640587086465054
251,2022-04-13,845,845,0,0.0
252,2022-04-14,27130,27073,57,0.0021009952082565427
253,2022-04-15,17188,17070,118,0.00686525482895043
254,2022-04-17,3137,3131,6,0.001912655403251514
